ID_venta,Fecha_venta,Marca,Modelo,Tipo,Capacidad_kg,Altura_m,Precio_USD,Provincia,Cliente_tipo,Año_fabricación,Horas_uso,Estado,Método_pago,Vendedor
VENT00001,2024-05-04,Yale,ERP030,eléctrico,2500.0,5.9,39112.42,Chubut,distribuidor,2023,3033.0,usado,leasing,Forklift Solutions
VENT00002,2024-06-28,Linde,E16,eléctrico,3500.0,5.3,28201.26,Santa Fe,distribuidor,2021,2804.0,reacondicionado,leasing,Grupo Industrial SA
VENT00003,2022-11-15,Linde,H25D,diésel,3500.0,4.7,32829.9,Mendoza,particular,2024,4370.0,reacondicionado,contado,Potencia SRL
VENT00004,2023-10-21,Toyota,TX30,gas,3000.0,5.0,42927.15,Buenos Aires,particular,2024,2829.0,usado,leasing,Autoelevadores Norte
VENT00005,2024-11-16,Toyota,TX30,gas,2000.0,3.3,39940.46,Santa Fe,particular,2024,0.0,nuevo,crédito,Potencia SRL
VENT00006,2024-10-07,Yale,GDP25UX,diésel,3500.0,3.5,17181.78,Córdoba,particular,2023,4526.0,usado,leasing,Potencia SRL
VENT00007,2024-06-04,Crown,SC 6000,diésel,1500.0,4.6,32600.71,Neuquén,distribuidor,2022,,nuevo,contado,Forklift Solutions
VENT00008,2023-12-29,Toyota,7FBEU18,gas,2500.0,4.2,23789.14,Córdoba,particular,2022,416.0,usado,leasing,Potencia SRL
VENT00009,2024-09-23,Yale,GLC050,gas,,4.3,24174.25,Mendoza,empresa,2024,3791.0,reacondicionado,leasing,Autoelevadores Norte
VENT00010,2024-03-23,Toyota,8FGCU25,gas,1500.0,4.2,28284.79,Salta,empresa,2022,,nuevo,crédito,Grupo Industrial SA
VENT00011,2025-03-08,Hyster,J40XN,eléctrico,2500.0,4.0,26152.35,Buenos Aires,empresa,2022,,usado,leasing,Potencia SRL
VENT00012,2023-08-19,Crown,RC 5500,eléctrico,1500.0,2.9,,Mendoza,particular,2021,0.0,nuevo,crédito,Grupo Industrial SA
VENT00013,2024-11-06,Toyota,7FBEU18,eléctrico,2000.0,5.9,31088.3,Santa Fe,particular,2021,600.0,usado,leasing,Logística Sur
VENT00014,2023-04-18,Crown,FC 5200,diésel,1500.0,3.3,25973.4,Tucumán,distribuidor,2024,0.0,nuevo,leasing,Logística Sur
VENT00015,2023-11-25,Toyota,7FBEU18,eléctrico,4000.0,6.0,28550.91,Mendoza,distribuidor,2023,,usado,leasing,Forklift Solutions
VENT00016,2023-04-19,Toyota,7FBEU18,eléctrico,2000.0,3.7,27669.39,Tucumán,empresa,2024,208.0,reacondicionado,leasing,Logística Sur
VENT00017,2023-02-08,Crown,RC 5500,diésel,4000.0,3.8,36952.63,Tucumán,empresa,2021,747.0,reacondicionado,leasing,Grupo Industrial SA
VENT00018,2025-05-01,Crown,SC 6000,eléctrico,,5.2,23358.73,Chubut,distribuidor,2023,4935.0,usado,leasing,Autoelevadores Norte
VENT00019,2023-10-08,Yale,GLC050,diésel,,2.8,,Mendoza,particular,2023,0.0,nuevo,contado,Logística Sur
VENT00020,2024-12-19,Yale,GLC050,gas,3500.0,5.6,18167.23,Buenos Aires,distribuidor,2024,483.0,usado,crédito,Grupo Industrial SA
VENT00021,2025-09-13,Linde,E30,eléctrico,3000.0,4.3,4576.08,Chubut,particular,2021,,reacondicionado,crédito,Logística Sur
VENT00022,2025-04-06,Toyota,8FGCU25,eléctrico,3500.0,6.0,30228.95,Córdoba,particular,2022,,reacondicionado,crédito,Grupo Industrial SA
VENT00023,2023-04-30,Hyster,H50XT,gas,1500.0,5.9,,Córdoba,empresa,2021,1726.0,reacondicionado,crédito,Forklift Solutions
VENT00024,2024-01-08,Toyota,8FGCU25,diésel,4000.0,2.8,19062.68,Tucumán,distribuidor,2021,1192.0,reacondicionado,contado,Forklift Solutions
VENT00025,2023-02-14,Linde,E16,eléctrico,1500.0,,43158.04,Tucumán,particular,2023,4748.0,usado,leasing,Potencia SRL
VENT00026,2023-01-06,Yale,GLC050,gas,3000.0,4.7,13365.07,Salta,particular,2022,0.0,nuevo,leasing,Autoelevadores Norte
VENT00027,2025-08-11,Toyota,TX30,eléctrico,2500.0,3.7,25366.07,Salta,particular,2021,0.0,nuevo,leasing,Grupo Industrial SA
VENT00028,2024-02-08,Toyota,8FGCU25,eléctrico,2000.0,5.9,23502.53,Tucumán,distribuidor,2024,1162.0,reacondicionado,contado,Logística Sur
VENT00029,2024-09-16,Hyster,H50XT,diésel,2000.0,5.5,37262.23,Córdoba,distribuidor,2024,2551.0,reacondicionado,contado,Grupo Industrial SA
VENT00030,2025-01-30,Crown,SC 6000,diésel,2500.0,5.4,36754.87,Salta,empresa,2024,,nuevo,crédito,Logística Sur
VENT00031,2023-02-17,Toyota,8FGCU25,diésel,4000.0,4.9,26239.58,Santa Fe,empresa,2024,812.0,usado,contado,Forklift Solutions
VENT00032,2024-03-16,Hyster,H50XT,diésel,1500.0,2.8,28025.3,Tucumán,distribuidor,2024,1879.0,reacondicionado,contado,Autoelevadores Norte
VENT00033,2024-07-19,Hyster,J40XN,gas,2000.0,4.0,,Salta,empresa,2021,326.0,reacondicionado,leasing,Forklift Solutions
VENT00034,2024-01-18,Toyota,8FGCU25,diésel,,3.2,,Buenos Aires,empresa,2022,0.0,nuevo,crédito,Logística Sur
VENT00035,2025-04-19,Linde,E30,eléctrico,1500.0,6.0,22216.7,Chubut,empresa,2024,3567.0,reacondicionado,leasing,Autoelevadores Norte
VENT00036,2025-06-04,Yale,ERP030,gas,4000.0,5.6,26250.79,Mendoza,empresa,2023,2707.0,reacondicionado,contado,Potencia SRL
VENT00037,2023-07-28,Hyster,J40XN,gas,2000.0,5.4,34842.33,Tucumán,particular,2024,0.0,nuevo,contado,Potencia SRL
VENT00038,2025-01-19,Toyota,TX30,eléctrico,,2.6,34619.04,Buenos Aires,distribuidor,2023,1319.0,reacondicionado,crédito,Potencia SRL
VENT00039,2024-09-24,Yale,GLC050,gas,1500.0,4.5,21901.39,Córdoba,particular,2024,1788.0,reacondicionado,leasing,Potencia SRL
VENT00040,2024-08-01,Yale,ERP030,diésel,3500.0,4.6,22581.58,Buenos Aires,particular,2021,2577.0,reacondicionado,crédito,Grupo Industrial SA
VENT00041,2024-12-01,Yale,ERP030,diésel,3000.0,3.8,16611.58,Neuquén,empresa,2022,1143.0,usado,crédito,Autoelevadores Norte
VENT00042,2023-10-23,Toyota,TX30,diésel,3000.0,3.0,13639.86,Córdoba,particular,2022,2989.0,reacondicionado,contado,Potencia SRL
VENT00043,2022-12-19,Yale,ERP030,diésel,1500.0,2.9,11349.84,Santa Fe,empresa,2021,1187.0,reacondicionado,contado,Potencia SRL
VENT00044,2025-01-13,Linde,E16,diésel,3000.0,2.9,40606.2,Buenos Aires,particular,2024,2867.0,usado,leasing,Potencia SRL
VENT00045,2022-10-05,Linde,E16,diésel,,5.7,20922.78,Córdoba,particular,2022,0.0,nuevo,crédito,Logística Sur
VENT00046,2023-02-05,Linde,E16,diésel,2500.0,,21495.41,Córdoba,empresa,2021,,usado,contado,Grupo Industrial SA
VENT00047,2024-05-25,Crown,RC 5500,gas,3000.0,4.3,14977.64,Córdoba,empresa,2024,3557.0,usado,contado,Logística Sur
VENT00048,2025-07-17,Toyota,TX30,diésel,2000.0,5.1,31219.92,Buenos Aires,distribuidor,2024,346.0,reacondicionado,crédito,Autoelevadores Norte
VENT00049,2025-05-12,Toyota,8FGCU25,eléctrico,1500.0,3.8,12088.82,Buenos Aires,distribuidor,2023,0.0,nuevo,contado,Autoelevadores Norte
VENT00050,2022-09-15,Toyota,7FBEU18,eléctrico,2000.0,2.5,23298.08,Córdoba,particular,2021,0.0,nuevo,leasing,Grupo Industrial SA
VENT00051,2025-04-21,Crown,FC 5200,eléctrico,2000.0,4.1,17836.27,Chubut,distribuidor,2023,0.0,nuevo,contado,Autoelevadores Norte
VENT00052,2024-10-19,Linde,H25D,diésel,2500.0,5.8,28095.22,Salta,empresa,2021,0.0,nuevo,leasing,Autoelevadores Norte
VENT00053,2024-02-13,Hyster,J40XN,eléctrico,2000.0,5.3,20913.56,Salta,particular,2022,0.0,nuevo,contado,Autoelevadores Norte
VENT00054,2023-09-27,Linde,H25D,gas,1500.0,,15554.94,Buenos Aires,distribuidor,2021,1181.0,reacondicionado,crédito,Potencia SRL
VENT00055,2024-02-01,Yale,GLC050,eléctrico,3500.0,4.0,24774.54,Salta,empresa,2022,3124.0,usado,crédito,Logística Sur
VENT00056,2025-09-11,Toyota,8FGCU25,gas,2500.0,4.0,28426.65,Salta,distribuidor,2024,0.0,nuevo,contado,Grupo Industrial SA
VENT00057,2022-12-20,Linde,E16,gas,3500.0,,25532.14,Chubut,distribuidor,2022,,usado,contado,Logística Sur
VENT00058,2023-07-07,Linde,E30,eléctrico,2500.0,4.1,27419.78,Córdoba,distribuidor,2022,0.0,nuevo,leasing,Logística Sur
VENT00059,2025-02-11,Crown,SC 6000,eléctrico,2000.0,3.5,19925.42,Tucumán,particular,2022,3961.0,usado,leasing,Logística Sur
VENT00060,2023-08-24,Hyster,S120FT,diésel,2500.0,4.7,,Buenos Aires,empresa,2023,432.0,usado,crédito,Logística Sur
VENT00061,2023-09-19,Crown,RC 5500,gas,3000.0,4.1,19620.32,Tucumán,distribuidor,2023,1705.0,usado,contado,Grupo Industrial SA
VENT00062,2023-04-23,Linde,H25D,gas,2500.0,2.9,22123.57,Mendoza,empresa,2021,2473.0,reacondicionado,leasing,Forklift Solutions
VENT00063,2025-01-04,Crown,RC 5500,gas,2000.0,4.4,18494.83,Neuquén,particular,2024,2382.0,reacondicionado,crédito,Autoelevadores Norte
VENT00064,2024-08-09,Crown,RC 5500,eléctrico,2000.0,2.9,11189.74,Córdoba,distribuidor,2024,1243.0,reacondicionado,crédito,Logística Sur
VENT00065,2023-02-02,Yale,GDP25UX,diésel,3000.0,4.9,26419.41,Salta,distribuidor,2021,1269.0,reacondicionado,contado,Potencia SRL
VENT00066,2023-01-16,Hyster,H50XT,diésel,3000.0,3.9,21785.75,Buenos Aires,particular,2021,766.0,reacondicionado,contado,Autoelevadores Norte
VENT00067,2024-01-24,Toyota,TX30,gas,1500.0,6.0,11958.41,Tucumán,particular,2022,,nuevo,leasing,Autoelevadores Norte
VENT00068,2024-11-11,Hyster,H50XT,diésel,3000.0,5.0,28702.26,Neuquén,empresa,2023,3665.0,usado,crédito,Forklift Solutions
VENT00069,2024-10-13,Crown,SC 6000,eléctrico,2000.0,5.7,17741.61,Chubut,distribuidor,2024,4130.0,reacondicionado,leasing,Forklift Solutions
VENT00070,2023-03-02,Hyster,J40XN,eléctrico,,5.0,25415.56,Neuquén,empresa,2022,1629.0,reacondicionado,contado,Forklift Solutions
VENT00071,2023-12-26,Hyster,S120FT,diésel,,2.8,30832.72,Tucumán,distribuidor,2024,4328.0,reacondicionado,leasing,Logística Sur
VENT00072,2025-01-17,Yale,ERP030,gas,3000.0,3.3,26031.86,Tucumán,empresa,2021,0.0,nuevo,crédito,Grupo Industrial SA
VENT00073,2023-12-10,Linde,E30,eléctrico,2000.0,2.7,34115.21,Neuquén,particular,2022,,usado,crédito,Forklift Solutions
VENT00074,2023-03-26,Linde,E30,eléctrico,3500.0,5.6,15121.39,Salta,distribuidor,2024,2193.0,usado,leasing,Grupo Industrial SA
VENT00075,2025-01-11,Hyster,J40XN,eléctrico,2000.0,5.5,28218.73,Salta,empresa,2022,,nuevo,leasing,Autoelevadores Norte
VENT00076,2024-02-12,Linde,E30,diésel,2500.0,4.2,19521.52,Mendoza,empresa,2023,692.0,usado,crédito,Logística Sur
VENT00077,2024-12-31,Yale,GDP25UX,diésel,,4.1,18033.62,Córdoba,empresa,2021,0.0,nuevo,contado,Logística Sur
VENT00078,2023-07-26,Hyster,J40XN,gas,1500.0,5.4,20369.2,Neuquén,empresa,2022,0.0,nuevo,contado,Forklift Solutions
VENT00079,2025-04-08,Linde,H25D,diésel,3000.0,2.9,,Tucumán,particular,2022,3719.0,reacondicionado,leasing,Autoelevadores Norte
VENT00080,2025-01-11,Linde,E16,eléctrico,1500.0,4.7,25449.32,Córdoba,empresa,2024,0.0,nuevo,crédito,Grupo Industrial SA
VENT00081,2025-03-14,Crown,RC 5500,diésel,1500.0,2.9,15678.8,Tucumán,empresa,2023,0.0,nuevo,leasing,Potencia SRL
VENT00082,2023-12-04,Linde,E16,gas,2000.0,2.7,32206.61,Tucumán,particular,2023,0.0,nuevo,leasing,Logística Sur
VENT00083,2024-08-05,Linde,E30,eléctrico,2000.0,5.3,28725.3,Salta,distribuidor,2021,3340.0,usado,contado,Potencia SRL
VENT00084,2023-02-03,Toyota,TX30,eléctrico,3000.0,4.5,12710.05,Mendoza,empresa,2022,,reacondicionado,leasing,Potencia SRL
VENT00085,2025-03-28,Hyster,S120FT,diésel,,4.7,36906.02,Buenos Aires,particular,2023,2628.0,usado,contado,Potencia SRL
VENT00086,2024-05-03,Hyster,S120FT,diésel,4000.0,4.2,40167.11,Salta,particular,2021,0.0,nuevo,leasing,Logística Sur
VENT00087,2024-01-19,Hyster,J40XN,diésel,3000.0,5.8,,Mendoza,empresa,2023,2144.0,reacondicionado,crédito,Forklift Solutions
VENT00088,2025-02-24,Linde,H25D,gas,2000.0,3.6,23560.6,Salta,particular,2021,,reacondicionado,contado,Logística Sur
VENT00089,2023-09-25,Toyota,TX30,eléctrico,1500.0,2.5,,Salta,empresa,2021,0.0,nuevo,leasing,Logística Sur
VENT00090,2023-12-09,Hyster,H50XT,diésel,3000.0,3.0,33435.61,Tucumán,empresa,2023,3447.0,reacondicionado,contado,Logística Sur
VENT00091,2023-06-26,Linde,E30,gas,,5.9,21774.58,Chubut,empresa,2021,,usado,contado,Potencia SRL
VENT00092,2023-07-05,Hyster,S120FT,gas,3500.0,5.4,34779.56,Santa Fe,empresa,2023,0.0,nuevo,contado,Forklift Solutions
VENT00093,2023-07-01,Toyota,TX30,gas,4000.0,4.5,26666.2,Córdoba,distribuidor,2021,3847.0,usado,leasing,Potencia SRL
VENT00094,2022-11-04,Toyota,8FGCU25,diésel,4000.0,5.1,32813.11,Buenos Aires,particular,2021,3035.0,reacondicionado,leasing,Forklift Solutions
VENT00095,2025-04-22,Yale,GDP25UX,gas,2500.0,3.1,,Neuquén,distribuidor,2023,3316.0,usado,crédito,Potencia SRL
VENT00096,2025-06-30,Linde,E30,diésel,1500.0,5.2,30652.59,Tucumán,particular,2021,1083.0,reacondicionado,crédito,Logística Sur
VENT00097,2023-10-22,Toyota,TX30,diésel,4000.0,,25084.0,Tucumán,particular,2023,,reacondicionado,crédito,Autoelevadores Norte
VENT00098,2024-09-23,Hyster,H50XT,gas,2500.0,5.3,39286.96,Mendoza,particular,2023,0.0,nuevo,contado,Autoelevadores Norte
VENT00099,2022-12-30,Toyota,7FBEU18,eléctrico,,3.0,26015.3,Salta,distribuidor,2023,2746.0,reacondicionado,crédito,Potencia SRL
VENT00100,2023-01-31,Yale,GDP25UX,eléctrico,2000.0,4.5,28215.91,Chubut,empresa,2023,4035.0,reacondicionado,leasing,Potencia SRL
VENT00101,2025-08-03,Hyster,H50XT,gas,3000.0,3.5,40065.21,Santa Fe,particular,2022,0.0,nuevo,leasing,Forklift Solutions
VENT00102,2023-04-04,Crown,FC 5200,gas,4000.0,5.3,14217.93,Neuquén,distribuidor,2023,0.0,nuevo,contado,Logística Sur
VENT00103,2023-05-04,Linde,H25D,gas,3500.0,,14836.12,Salta,empresa,2024,,usado,leasing,Potencia SRL
VENT00104,2022-11-13,Yale,ERP030,diésel,1500.0,4.5,,Neuquén,particular,2022,3067.0,usado,leasing,Forklift Solutions
VENT00105,2023-01-16,Linde,E30,gas,3000.0,2.6,15615.01,Mendoza,particular,2022,,nuevo,crédito,Grupo Industrial SA
VENT00106,2025-09-04,Crown,SC 6000,eléctrico,,5.0,40548.97,Córdoba,empresa,2022,634.0,reacondicionado,leasing,Logística Sur
VENT00107,2024-12-31,Linde,H25D,diésel,2500.0,4.6,21691.05,Córdoba,distribuidor,2021,2152.0,usado,crédito,Logística Sur
VENT00108,2025-08-10,Yale,GLC050,gas,4000.0,3.9,19020.36,Buenos Aires,particular,2024,0.0,nuevo,leasing,Forklift Solutions
VENT00109,2024-05-13,Crown,RC 5500,diésel,2500.0,5.4,40383.54,Neuquén,distribuidor,2022,0.0,nuevo,leasing,Autoelevadores Norte
VENT00110,2025-09-13,Linde,E16,eléctrico,2000.0,5.0,36844.12,Chubut,empresa,2023,307.0,reacondicionado,crédito,Forklift Solutions
VENT00111,2024-12-06,Linde,H25D,gas,2000.0,,39940.47,Neuquén,distribuidor,2021,0.0,nuevo,contado,Logística Sur
VENT00112,2023-11-16,Toyota,7FBEU18,gas,1500.0,5.4,32248.36,Neuquén,empresa,2023,,usado,leasing,Forklift Solutions
VENT00113,2024-12-02,Linde,E16,diésel,2500.0,5.0,18110.19,Tucumán,distribuidor,2024,1371.0,reacondicionado,leasing,Forklift Solutions
VENT00114,2023-09-14,Toyota,7FBEU18,gas,2000.0,4.7,40280.52,Buenos Aires,distribuidor,2021,0.0,nuevo,crédito,Potencia SRL
VENT00115,2023-08-14,Hyster,J40XN,gas,2000.0,5.0,22855.97,Santa Fe,distribuidor,2021,4340.0,reacondicionado,contado,Grupo Industrial SA
VENT00116,2025-08-04,Toyota,8FGCU25,gas,2500.0,4.5,31419.65,Salta,distribuidor,2023,,usado,crédito,Grupo Industrial SA
VENT00117,2025-03-18,Hyster,S120FT,eléctrico,1500.0,3.7,32578.02,Mendoza,empresa,2024,,reacondicionado,contado,Potencia SRL
VENT00118,2024-06-26,Hyster,J40XN,eléctrico,3000.0,2.7,23759.92,Salta,particular,2023,4709.0,reacondicionado,crédito,Forklift Solutions
VENT00119,2025-03-02,Toyota,8FGCU25,diésel,2000.0,5.8,,Córdoba,distribuidor,2021,0.0,nuevo,crédito,Grupo Industrial SA
VENT00120,2023-11-15,Hyster,J40XN,gas,4000.0,4.8,32377.65,Buenos Aires,distribuidor,2024,4163.0,reacondicionado,contado,Grupo Industrial SA
VENT00121,2024-08-13,Crown,SC 6000,diésel,1500.0,4.8,28011.4,Córdoba,empresa,2023,0.0,nuevo,contado,Logística Sur
VENT00122,2024-10-18,Toyota,TX30,gas,4000.0,5.3,16204.79,Buenos Aires,empresa,2024,0.0,nuevo,leasing,Forklift Solutions
VENT00123,2025-07-05,Hyster,H50XT,eléctrico,4000.0,4.9,,Salta,empresa,2024,3361.0,usado,contado,Forklift Solutions
VENT00124,2025-06-06,Linde,H25D,eléctrico,,3.7,35611.09,Santa Fe,distribuidor,2024,0.0,nuevo,leasing,Forklift Solutions
VENT00125,2025-09-05,Yale,GLC050,eléctrico,2000.0,5.8,19443.46,Buenos Aires,particular,2024,1508.0,usado,contado,Grupo Industrial SA
VENT00126,2024-03-22,Linde,E30,eléctrico,1500.0,2.7,23802.92,Córdoba,particular,2022,3211.0,usado,crédito,Logística Sur
VENT00127,2023-01-19,Crown,RC 5500,diésel,4000.0,3.4,21518.77,Santa Fe,distribuidor,2022,698.0,usado,crédito,Potencia SRL
VENT00128,2024-01-30,Linde,E16,diésel,3000.0,3.4,39794.11,Neuquén,empresa,2024,,nuevo,crédito,Logística Sur
VENT00129,2025-04-22,Crown,FC 5200,diésel,2500.0,5.6,30378.36,Salta,particular,2021,3987.0,usado,crédito,Grupo Industrial SA
VENT00130,2023-03-12,Crown,SC 6000,diésel,4000.0,,28259.69,Buenos Aires,empresa,2024,0.0,nuevo,crédito,Logística Sur
VENT00131,2024-10-08,Yale,GDP25UX,gas,3000.0,4.6,,Santa Fe,empresa,2023,1402.0,reacondicionado,leasing,Grupo Industrial SA
VENT00132,2025-03-13,Linde,H25D,eléctrico,4000.0,3.8,29313.99,Chubut,particular,2021,0.0,nuevo,crédito,Forklift Solutions
VENT00133,2025-05-19,Crown,SC 6000,diésel,,4.7,19605.34,Tucumán,particular,2024,0.0,nuevo,crédito,Autoelevadores Norte
VENT00134,2024-02-16,Yale,GLC050,eléctrico,2500.0,3.0,25254.64,Córdoba,particular,2023,0.0,nuevo,crédito,Potencia SRL
VENT00135,2023-07-06,Yale,ERP030,eléctrico,4000.0,5.0,19913.23,Córdoba,distribuidor,2022,0.0,nuevo,contado,Forklift Solutions
VENT00136,2023-09-26,Hyster,H50XT,gas,,5.4,30411.47,Salta,particular,2023,2845.0,usado,crédito,Autoelevadores Norte
VENT00137,2022-10-09,Hyster,J40XN,gas,3500.0,5.9,29612.73,Santa Fe,distribuidor,2023,0.0,nuevo,crédito,Autoelevadores Norte
VENT00138,2023-11-09,Yale,ERP030,gas,2500.0,5.9,23333.61,Neuquén,empresa,2022,0.0,nuevo,leasing,Potencia SRL
VENT00139,2023-03-14,Crown,FC 5200,gas,4000.0,4.9,28168.05,Córdoba,distribuidor,2022,0.0,nuevo,contado,Grupo Industrial SA
VENT00140,2025-09-13,Toyota,8FGCU25,gas,3000.0,,16255.51,Chubut,distribuidor,2023,1973.0,usado,leasing,Potencia SRL
VENT00141,2023-08-22,Toyota,7FBEU18,eléctrico,1500.0,5.4,13069.94,Santa Fe,particular,2024,1804.0,reacondicionado,leasing,Logística Sur
VENT00142,2024-04-13,Linde,E16,gas,2000.0,5.7,28515.13,Santa Fe,distribuidor,2021,811.0,reacondicionado,crédito,Forklift Solutions
VENT00143,2023-06-05,Crown,SC 6000,eléctrico,3000.0,4.7,26333.39,Tucumán,particular,2024,,reacondicionado,crédito,Forklift Solutions
VENT00144,2024-02-12,Hyster,S120FT,diésel,2000.0,3.6,30080.25,Santa Fe,distribuidor,2021,4016.0,reacondicionado,leasing,Logística Sur
VENT00145,2024-07-06,Crown,FC 5200,diésel,3000.0,3.3,44065.16,Córdoba,distribuidor,2022,0.0,nuevo,contado,Forklift Solutions
VENT00146,2022-12-19,Toyota,7FBEU18,eléctrico,,4.5,32555.84,Buenos Aires,empresa,2024,4116.0,usado,crédito,Potencia SRL
VENT00147,2023-02-17,Linde,H25D,eléctrico,4000.0,2.5,17697.42,Mendoza,distribuidor,2023,0.0,nuevo,contado,Logística Sur
VENT00148,2023-04-29,Linde,E30,diésel,1500.0,2.8,33936.13,Neuquén,empresa,2023,1291.0,usado,crédito,Forklift Solutions
VENT00149,2025-09-01,Yale,GLC050,diésel,,3.8,14472.74,Santa Fe,empresa,2024,0.0,nuevo,crédito,Forklift Solutions
VENT00150,2023-08-19,Linde,E30,diésel,3000.0,3.5,21307.32,Neuquén,particular,2023,4029.0,reacondicionado,contado,Logística Sur
VENT00151,2022-11-23,Hyster,J40XN,eléctrico,4000.0,3.2,24454.07,Salta,distribuidor,2022,0.0,nuevo,crédito,Logística Sur
VENT00152,2025-02-21,Yale,GLC050,diésel,3500.0,5.4,38706.74,Mendoza,particular,2024,4086.0,usado,crédito,Potencia SRL
VENT00153,2025-05-26,Toyota,TX30,diésel,2500.0,3.9,,Mendoza,distribuidor,2021,431.0,reacondicionado,contado,Autoelevadores Norte
VENT00154,2024-12-21,Hyster,S120FT,diésel,2000.0,2.9,18388.49,Salta,empresa,2022,,reacondicionado,leasing,Grupo Industrial SA
VENT00155,2025-04-06,Hyster,H50XT,gas,3500.0,5.8,24212.38,Mendoza,empresa,2024,0.0,nuevo,contado,Potencia SRL
VENT00156,2025-08-06,Crown,SC 6000,eléctrico,3500.0,3.1,19692.17,Mendoza,empresa,2024,0.0,nuevo,contado,Logística Sur
VENT00157,2023-01-06,Hyster,J40XN,eléctrico,,,34013.09,Buenos Aires,particular,2023,,reacondicionado,leasing,Forklift Solutions
VENT00158,2022-10-25,Crown,RC 5500,eléctrico,2500.0,5.8,16360.55,Córdoba,distribuidor,2021,1213.0,reacondicionado,contado,Potencia SRL
VENT00159,2023-03-26,Linde,E16,diésel,3500.0,4.3,15820.25,Córdoba,particular,2024,0.0,nuevo,crédito,Logística Sur
VENT00160,2025-05-27,Hyster,J40XN,gas,2500.0,3.0,21497.44,Tucumán,distribuidor,2021,2849.0,usado,crédito,Forklift Solutions
VENT00161,2023-07-03,Linde,H25D,diésel,1500.0,4.1,21015.74,Buenos Aires,particular,2024,3754.0,usado,crédito,Forklift Solutions
VENT00162,2025-04-12,Linde,H25D,diésel,2000.0,3.3,40436.26,Tucumán,distribuidor,2024,1319.0,usado,contado,Autoelevadores Norte
VENT00163,2025-02-24,Crown,RC 5500,gas,1500.0,5.8,32595.37,Santa Fe,distribuidor,2021,0.0,nuevo,leasing,Forklift Solutions
VENT00164,2023-03-18,Yale,ERP030,gas,2000.0,3.9,25700.41,Mendoza,empresa,2024,0.0,nuevo,crédito,Potencia SRL
VENT00165,2024-05-13,Hyster,S120FT,diésel,,4.3,15196.52,Neuquén,empresa,2024,,usado,leasing,Logística Sur
VENT00166,2023-02-03,Toyota,TX30,diésel,3500.0,5.5,31754.9,Mendoza,empresa,2021,0.0,nuevo,contado,Logística Sur
VENT00167,2024-04-10,Crown,FC 5200,gas,4000.0,2.9,16998.28,Neuquén,particular,2023,2870.0,reacondicionado,leasing,Forklift Solutions
VENT00168,2023-03-13,Hyster,J40XN,gas,2500.0,5.0,12641.83,Neuquén,distribuidor,2023,3938.0,usado,contado,Forklift Solutions
VENT00169,2022-11-09,Toyota,TX30,diésel,3000.0,5.0,34504.24,Mendoza,distribuidor,2021,0.0,nuevo,contado,Grupo Industrial SA
VENT00170,2025-04-11,Yale,GLC050,gas,3000.0,4.4,27535.54,Buenos Aires,particular,2022,4111.0,reacondicionado,crédito,Potencia SRL
VENT00171,2022-10-17,Crown,FC 5200,eléctrico,3500.0,5.9,32366.87,Chubut,empresa,2022,3049.0,reacondicionado,contado,Grupo Industrial SA
VENT00172,2023-07-13,Hyster,S120FT,eléctrico,3500.0,5.5,27549.82,Salta,empresa,2024,0.0,nuevo,leasing,Logística Sur
VENT00173,2023-06-28,Linde,E16,diésel,3000.0,5.1,,Salta,empresa,2023,460.0,usado,crédito,Potencia SRL
VENT00174,2023-03-25,Crown,SC 6000,eléctrico,,4.2,,Salta,distribuidor,2021,0.0,nuevo,leasing,Forklift Solutions
